TIME,OBSERVATION,TIME_new,log10viralload
2.83,6.169,3.0,0.79
4.046,7.531,5.0,0.877
8.568,4.061,9.0,0.609
10.407,1.725,11.0,0.237
11.447,3.087,12.0,0.49
13.958,3.481,14.0,0.542
15.061,3.879,16.0,0.589
15.576,2.271,16.0,0.356
16.381,1.625,17.0,0.211
17.644,3.389,18.0,0.53
18.433,4.11,19.0,0.614
19.85,4.185,20.0,0.622
20.429,1.612,21.0,0.207
21.824,4.501,22.0,0.653
22.365,1.606,23.0,0.206
23.596,1.602,24.0,0.205
