TIME,OBSERVATION,TIME_new,log10viralload
2.071,5.357,3.0,0.729
2.588,6.357,3.0,0.803
3.746,6.071,4.0,0.783
5.421,6.786,6.0,0.832
5.987,5.071,6.0,0.705
8.204,4.929,9.0,0.693
8.882,3.857,9.0,0.586
9.522,4.571,10.0,0.66
10.864,4.357,11.0,0.639
11.616,2.714,12.0,0.434
12.97,4.571,13.0,0.66
14.633,4.214,15.0,0.625
16.074,3.571,17.0,0.553
16.455,2.786,17.0,0.445
18.648,3.5,19.0,0.544
20.68,3.286,21.0,0.517
21.616,2.714,22.0,0.434
