TIME,OBSERVATION,TIME_new,log10viralload
1.08,5.844,2.0,0.767
2.668,8.278,3.0,0.918
3.227,8.59,4.0,0.934
4.237,7.398,5.0,0.869
5.806,6.517,6.0,0.814
6.237,4.698,7.0,0.672
7.175,5.322,8.0,0.726
8.166,3.814,9.0,0.581
8.886,3.808,9.0,0.581
10.265,2.771,11.0,0.443
11.17,2.843,12.0,0.454
12.08,2.994,13.0,0.476
13.531,3.14,14.0,0.497
14.896,4.866,15.0,0.687
15.72,3.596,16.0,0.556
16.412,3.117,17.0,0.494
17.45,2.399,18.0,0.38
18.573,3.1,19.0,0.491
19.815,2.775,20.0,0.443
