TIME,OBSERVATION,TIME_new,log10viralload
1.369,4.058,2.0,0.608
1.795,8.515,2.0,0.93
2.577,6.677,3.0,0.825
3.888,7.463,4.0,0.873
4.964,6.419,5.0,0.807
6.036,5.455,7.0,0.737
6.994,6.483,7.0,0.812
8.106,4.801,9.0,0.681
9.241,2.721,10.0,0.435
10.08,2.874,11.0,0.458
10.824,4.7,11.0,0.672
11.864,4.293,12.0,0.633
12.698,4.526,13.0,0.656
14.154,2.762,15.0,0.441
14.97,3.313,15.0,0.52
15.956,3.863,16.0,0.587
16.907,2.023,17.0,0.306
18.237,2.49,19.0,0.396
