TIME,OBSERVATION,TIME_new,log10viralload
4.031,7.946,5.0,0.9
4.683,7.541,5.0,0.877
5.49,6.973,6.0,0.843
6.804,4.946,7.0,0.694
7.39,5.351,8.0,0.728
8.298,5.514,9.0,0.741
10.141,2.189,11.0,0.34
11.657,2.919,12.0,0.465
13.051,2.757,14.0,0.44
15.342,3.973,16.0,0.599
16.572,5.189,17.0,0.715
