TIME,OBSERVATION,TIME_new,log10viralload
1.528,5.335,2.0,0.727
4.087,3.482,5.0,0.542
4.759,7.22,5.0,0.859
5.796,6.814,6.0,0.833
6.636,5.851,7.0,0.767
7.888,6.479,8.0,0.812
8.962,7.028,9.0,0.847
10.103,4.788,11.0,0.68
10.805,4.783,11.0,0.68
11.632,3.502,12.0,0.544
12.7,3.892,13.0,0.59
14.225,2.526,15.0,0.402
14.721,1.725,15.0,0.237
15.857,3.867,16.0,0.587
17.358,1.863,18.0,0.27
