TIME,OBSERVATION,TIME_new,log10viralload
2.342,6.926,3.0,0.84
3.709,6.517,4.0,0.814
5.077,5.391,6.0,0.732
5.932,5.783,6.0,0.762
9.009,7.829,10.0,0.894
9.863,4.159,10.0,0.619
10.718,5.426,11.0,0.734
11.915,4.222,12.0,0.626
13.111,1.743,14.0,0.241
14.991,3.72,15.0,0.571
